,Type_id,Strain_id
0,0,0
1,0,1
2,0,3
3,0,4
4,0,6
5,0,10
6,0,11
7,0,13
8,0,20
9,0,21
10,0,22
11,0,23
12,0,24
13,0,25
14,0,31
15,0,33
16,0,36
17,0,38
18,0,42
19,0,46
20,0,52
21,0,55
22,0,56
23,0,57
24,0,58
25,0,60
26,0,62
27,0,65
28,0,66
29,0,67
30,0,69
31,0,70
32,0,71
33,0,75
34,0,76
35,0,78
36,0,79
37,0,81
38,0,82
39,0,90
40,0,91
41,0,92
42,0,96
43,0,97
44,0,99
45,0,100
46,0,103
47,0,104
48,0,112
49,0,115
50,0,116
51,0,117
52,0,118
53,0,120
54,0,121
55,0,124
56,0,125
57,0,126
58,0,130
59,0,131
60,0,132
61,0,134
62,0,137
63,0,138
64,0,139
65,0,140
66,0,144
67,0,145
68,0,146
69,0,148
70,0,150
71,0,151
72,0,153
73,0,154
74,0,155
75,0,157
76,0,158
77,0,159
78,0,160
79,0,162
80,0,164
81,0,165
82,0,166
83,0,167
84,0,168
85,0,169
86,0,170
87,0,172
88,0,174
89,0,178
90,0,180
91,0,181
92,0,185
93,0,187
94,0,188
95,0,189
96,0,191
97,0,193
98,0,195
99,0,196
100,0,197
101,0,198
102,0,201
103,0,202
104,0,203
105,0,205
106,0,206
107,0,207
108,0,211
109,0,212
110,0,213
111,0,216
112,0,219
113,0,221
114,0,223
115,0,224
116,0,225
117,0,229
118,0,231
119,0,235
120,0,240
121,0,241
122,0,242
123,0,243
124,0,245
125,0,248
126,0,249
127,0,254
128,0,256
129,0,260
130,0,261
131,0,262
132,0,263
133,0,266
134,0,267
135,0,274
136,0,276
137,0,278
138,0,279
139,0,280
140,0,282
141,0,284
142,0,285
143,0,287
144,0,288
145,0,290
146,0,291
147,0,292
148,0,293
149,0,294
150,0,295
151,0,296
152,0,297
153,0,300
154,0,303
155,0,305
156,0,309
157,0,310
158,0,311
159,0,313
160,0,315
161,0,317
162,0,319
163,0,320
164,0,321
165,0,322
166,0,323
167,0,324
168,0,325
169,0,326
170,0,327
171,0,331
172,0,333
173,0,334
174,0,335
175,0,337
176,0,338
177,0,339
178,0,340
179,0,342
180,0,343
181,0,344
182,0,345
183,0,346
184,0,347
185,0,350
186,0,353
187,0,354
188,0,355
189,0,356
190,0,357
191,0,358
192,0,360
193,0,361
194,0,362
195,0,363
196,0,364
197,0,365
198,0,366
199,0,367
200,0,368
201,0,369
202,0,372
203,0,376
204,0,378
205,0,379
206,0,381
207,0,382
208,0,383
209,0,386
210,0,390
211,0,391
212,0,395
213,0,396
214,0,398
215,0,399
216,0,403
217,0,406
218,0,408
219,0,409
220,0,413
221,0,414
222,0,415
223,0,416
224,0,419
225,0,426
226,0,427
227,0,429
228,0,431
229,0,432
230,0,433
231,0,436
232,0,437
233,0,438
234,0,444
235,0,446
236,0,448
237,0,449
238,0,451
239,0,452
240,0,453
241,0,454
242,0,455
243,0,457
244,0,460
245,0,464
246,0,467
247,0,469
248,0,472
249,0,473
250,0,474
251,0,476
252,0,477
253,0,478
254,0,479
255,0,480
256,0,481
257,0,483
258,0,484
259,0,486
260,0,488
261,0,489
262,0,490
263,0,491
264,0,492
265,0,493
266,0,494
267,0,495
268,0,497
269,0,498
270,0,500
271,0,501
272,0,502
273,0,503
274,0,504
275,0,505
276,0,506
277,0,507
278,0,509
279,0,510
280,0,511
281,0,512
282,0,513
283,0,514
284,0,515
285,0,516
286,0,517
287,0,518
288,0,519
289,0,520
290,0,522
291,0,523
292,0,524
293,0,527
294,0,529
295,0,533
296,0,534
297,0,537
298,0,539
299,0,540
300,0,541
301,0,543
302,0,544
303,0,545
304,0,547
305,0,548
306,0,549
307,0,552
