,0
0,Ammonia
1,Apple
2,Apricot
3,Berry
4,Blue
5,Blueberry
6,Butter
7,Cheese
8,Chemical
9,Chestnut
10,Citrus
11,Coffee
12,Diesel
13,Earthy
14,Flowery
15,Fruit
16,Grape
17,Grapefruit
18,Honey
19,Lavender
20,Lemon
21,Lime
22,Mango
23,Menthol
24,Mint
25,Minty
26,None
27,Nutty
28,Orange
29,Peach
30,Pear
31,Pepper
32,Pine
33,Pineapple
34,Plum
35,Pungent
36,Rose
37,Sage
38,Skunk
39,Spicy/Herbal
40,Strawberry
41,Sweet
42,Tar
43,Tea
44,Tobacco
45,Tree
46,Tropical
47,Vanilla
48,Violet
49,Woody
