,0
0,Aroused
1,Creative
2,Dry
3,Energetic
4,Euphoric
5,Focused
6,Giggly
7,Happy
8,Hungry
9,Mouth
10,None
11,Relaxed
12,Sleepy
13,Talkative
14,Tingly
15,Uplifted
